unique_id;genus;sp;ssp;ssp_old;species;Species;Captive;ssp_certainty
Neo_neb_Rhu;Neofelis;nebulosa;;;Neofelis nebulosa;Neofelis nebulosa;Yes;Certain
Oto_man_Katya_Oman10;Otocolobus;manul;manul;;Otocolobus manul;Otocolobus manul manul;Yes;Uncertain
Pan_leo_Atul;Panthera;leo;leo;persica;Panthera leo;Panthera leo leo (Indian);Yes;Certain
Pan_leo_Brooke;Panthera;leo;melanochaita;;Panthera leo;Panthera leo melanochaita;Yes;Uncertain
Pan_leo_Hubert;Panthera;leo;melanochaita;krugeri;Panthera leo;Panthera leo melanochaita;Yes;Certain
Pan_leo_SnowGirl;Panthera;leo;melanochaita;;Panthera leo;Panthera leo melanochaita;Yes;Uncertain
Pan_leo_SunDol;Panthera;leo;melanochaita;;Panthera leo;Panthera leo melanochaita;Yes;Uncertain
Pan_onc_bPon052;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_bPon309;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_bPon378;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_bPon395;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_bPon411;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_bPon460;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_bPon462;Panthera;onca;;;Panthera onca;Panthera onca;No;Certain
Pan_onc_DNA512;Panthera;onca;;;Panthera onca;Panthera onca;Yes;Certain
Pan_onc_PanOnc_BS21;Panthera;onca;;;Panthera onca;Panthera onca;Yes;Certain
Pan_par_AmurLeopard_1;Panthera;pardus;orientalis;;Panthera pardus;Panthera pardus orientalis (Amur);No;Certain
Pan_par_AmurLeopard_2;Panthera;pardus;orientalis;;Panthera pardus;Panthera pardus orientalis (Amur);No;Certain
Pan_par_Bhagya;Panthera;pardus;fusca;;Panthera pardus;Panthera pardus fusca;No;Certain
Pan_par_Maewha;Panthera;pardus;orientalis;;Panthera pardus;Panthera pardus orientalis (Amur);Yes;Certain
Pan_par_Namibia;Panthera;pardus;pardus;;Panthera pardus;Panthera pardus pardus;No;Certain
Pan_par_Zambia;Panthera;pardus;pardus;;Panthera pardus;Panthera pardus pardus;No;Certain
Pan_tig_AMU4;Panthera;tigris;tigris;altaica;Panthera tigris;Panthera tigris tigris (Amur);No;Certain
Pan_tig_AMU9;Panthera;tigris;tigris;altaica;Panthera tigris;Panthera tigris tigris (Amur);No;Certain
Pan_tig_BEN_CI15;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);No;Certain
Pan_tig_BEN_CI18;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);No;Certain
Pan_tig_BEN_CI3;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);No;Certain
Pan_tig_BEN_NE4;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);No;Certain
Pan_tig_BEN_NW10;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);No;Certain
Pan_tig_BEN_SU3;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);No;Certain
Pan_tig_HwaRang;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);Yes;Certain
Pan_tig_Kylo;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);Yes;Uncertain
Pan_tig_MAL1;Panthera;tigris;tigris;jacksoni;Panthera tigris;Panthera tigris tigris (Malayan);No;Certain
Pan_tig_MAL2;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Malayan);No;Certain
Pan_tig_SeGang;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Bengal);Yes;Uncertain
Pan_tig_SUM1;Panthera;tigris;sondaica;sumatrae;Panthera tigris;Panthera tigris sondaica;Yes;Certain
Pan_tig_SUM2;Panthera;tigris;sondaica;sumatrae;Panthera tigris;Panthera tigris sondaica;Yes;Certain
Pan_tig_TaeGeuk;Panthera;tigris;tigris;;Panthera tigris;Panthera tigris tigris (Amur);Yes;Certain
Pan_unc_Kiara_DNA729;Panthera;uncia;;;Panthera uncia;Panthera uncia;Yes;Certain
Pan_unc_SDZ_SL_1;Panthera;uncia;;;Panthera uncia;Panthera uncia;Yes;Certain
Pan_unc_SnowLeopard;Panthera;uncia;;;Panthera uncia;Panthera uncia;Yes;Certain
Par_mar_PMA5;Pardofelis;marmorata;longicaudata;;Pardofelis marmorata;Pardofelis marmorata longicaudata;Yes;Certain
Pri_ben_LeopardCat;Prionailurus;bengalensis;euptilurus;;Prionailurus bengalensis;Prionailurus bengalensis euptilurus (Amur);No;Certain
Pri_ben_Tuo;Prionailurus;bengalensis;euptilurus;euptilura;Prionailurus bengalensis;Prionailurus bengalensis euptilurus (Amur);Yes;Certain
Pri_pla_IPL6;Prionailurus;planiceps;;;Prionailurus planiceps;Prionailurus planiceps;Yes;Certain
Pri_rub_PRU1;Prionailurus;rubiginosus;rubiginosus;;Prionailurus rubiginosus;Prionailurus rubiginosus rubiginosus;Yes;Uncertain
Pri_viv_DNA430;Prionailurus;viverrinus;viverrinus;;Prionailurus viverrinus;Prionailurus viverrinus viverrinus;Yes;Certain
Pri_viv_PVI_139;Prionailurus;viverrinus;viverrinus;;Prionailurus viverrinus;Prionailurus viverrinus viverrinus;Yes;Certain
Pri_viv_PVI2;Prionailurus;viverrinus;viverrinus;;Prionailurus viverrinus;Prionailurus viverrinus viverrinus;Yes;Certain
Pum_con_BR338_1015;Puma;concolor;concolor;;Puma concolor;Puma concolor concolor;No;Certain
Pum_con_CYP47_1013;Puma;concolor;cougar;coryi;Puma concolor;Puma concolor cougar;No;Certain
Pum_con_EVG21_1028;Puma;concolor;cougar;coryi;Puma concolor;Puma concolor cougar;No;Certain
Pum_con_FL51_CYP51_1014;Puma;concolor;cougar;coryi;Puma concolor;Puma concolor cougar;No;Certain
Pum_con_SC36_Marlon;Puma;concolor;cougar;;Puma concolor;Puma concolor cougar;No;Certain
Pum_con_SMM12_1020;Puma;concolor;cougar;;Puma concolor;Puma concolor cougar;No;Certain
Pum_con_SMM13_1005;Puma;concolor;cougar;;Puma concolor;Puma concolor cougar;No;Certain
Pum_con_YNP198;Puma;concolor;cougar;;Puma concolor;Puma concolor cougar;No;Certain
